family,m,mod_target,r0,r0_mod3,effective_target_mod_3m,D_r,D_at_r1,h_r
sqrt2-per12,3,81,55,1,1,1,1,0
sqrt2-per12,3,81,56,2,2,0,1,-1
sqrt2-per12,3,81,58,1,4,2,1,1
sqrt2-per12,3,81,59,2,5,2,1,1
sqrt2-per12,3,81,61,1,7,3,1,2
sqrt2-per12,3,81,62,2,8,1,1,0
sqrt2-per12,3,81,64,1,10,1,1,0
sqrt2-per12,3,81,65,2,11,1,1,0
sqrt2-per12,3,81,67,1,13,0,1,-1
sqrt2-per12,3,81,68,2,14,2,1,1
sqrt2-per12,3,81,70,1,16,3,1,2
sqrt2-per12,3,81,71,2,17,0,1,-1
sqrt2-per12,3,81,73,1,19,2,1,1
sqrt2-per12,3,81,74,2,20,0,1,-1
sqrt2-per12,3,81,76,1,22,0,1,-1
sqrt2-per12,3,81,77,2,23,3,1,2
sqrt2-per12,3,81,79,1,25,4,1,3
sqrt2-per12,3,81,80,2,26,0,1,-1
sqrt2-per12,4,27,1,1,1,2,2,0
sqrt2-per12,4,27,2,2,2,1,2,-1
sqrt2-per12,4,27,4,1,4,2,2,0
sqrt2-per12,4,27,5,2,5,2,2,0
sqrt2-per12,4,27,7,1,7,3,2,1
sqrt2-per12,4,27,8,2,8,1,2,-1
sqrt2-per12,4,27,10,1,10,1,2,-1
sqrt2-per12,4,27,11,2,11,2,2,0
sqrt2-per12,4,27,13,1,13,0,2,-2
sqrt2-per12,4,27,14,2,14,2,2,0
sqrt2-per12,4,27,16,1,16,4,2,2
sqrt2-per12,4,27,17,2,17,1,2,-1
sqrt2-per12,4,27,19,1,19,2,2,0
sqrt2-per12,4,27,20,2,20,0,2,-2
sqrt2-per12,4,27,22,1,22,1,2,-1
sqrt2-per12,4,27,23,2,23,4,2,2
sqrt2-per12,4,27,25,1,25,4,2,2
sqrt2-per12,4,27,26,2,26,0,2,-2
sqrt2-per12,4,81,1,1,1,2,2,0
sqrt2-per12,4,81,2,2,2,1,2,-1
sqrt2-per12,4,81,4,1,4,2,2,0
sqrt2-per12,4,81,5,2,5,2,2,0
sqrt2-per12,4,81,7,1,7,3,2,1
sqrt2-per12,4,81,8,2,8,1,2,-1
sqrt2-per12,4,81,10,1,10,1,2,-1
sqrt2-per12,4,81,11,2,11,2,2,0
sqrt2-per12,4,81,13,1,13,0,2,-2
sqrt2-per12,4,81,14,2,14,2,2,0
sqrt2-per12,4,81,16,1,16,4,2,2
sqrt2-per12,4,81,17,2,17,1,2,-1
sqrt2-per12,4,81,19,1,19,2,2,0
sqrt2-per12,4,81,20,2,20,0,2,-2
sqrt2-per12,4,81,22,1,22,1,2,-1
sqrt2-per12,4,81,23,2,23,4,2,2
sqrt2-per12,4,81,25,1,25,4,2,2
sqrt2-per12,4,81,26,2,26,0,2,-2
sqrt2-per12,4,81,28,1,28,1,2,-1
sqrt2-per12,4,81,29,2,29,2,2,0
sqrt2-per12,4,81,31,1,31,3,2,1
sqrt2-per12,4,81,32,2,32,3,2,1
sqrt2-per12,4,81,34,1,34,5,2,3
sqrt2-per12,4,81,35,2,35,3,2,1
sqrt2-per12,4,81,37,1,37,1,2,-1
sqrt2-per12,4,81,38,2,38,1,2,-1
sqrt2-per12,4,81,40,1,40,0,2,-2
sqrt2-per12,4,81,41,2,41,3,2,1
sqrt2-per12,4,81,43,1,43,3,2,1
sqrt2-per12,4,81,44,2,44,0,2,-2
sqrt2-per12,4,81,46,1,46,3,2,1
sqrt2-per12,4,81,47,2,47,1,2,-1
sqrt2-per12,4,81,49,1,49,2,2,0
sqrt2-per12,4,81,50,2,50,3,2,1
sqrt2-per12,4,81,52,1,52,5,2,3
sqrt2-per12,4,81,53,2,53,1,2,-1
sqrt2-per12,4,81,55,1,55,3,2,1
sqrt2-per12,4,81,56,2,56,0,2,-2
sqrt2-per12,4,81,58,1,58,4,2,2
sqrt2-per12,4,81,59,2,59,2,2,0
sqrt2-per12,4,81,61,1,61,4,2,2
sqrt2-per12,4,81,62,2,62,2,2,0
sqrt2-per12,4,81,64,1,64,2,2,0
sqrt2-per12,4,81,65,2,65,2,2,0
sqrt2-per12,4,81,67,1,67,2,2,0
sqrt2-per12,4,81,68,2,68,4,2,2
sqrt2-per12,4,81,70,1,70,3,2,1
sqrt2-per12,4,81,71,2,71,0,2,-2
sqrt2-per12,4,81,73,1,73,3,2,1
sqrt2-per12,4,81,74,2,74,0,2,-2
sqrt2-per12,4,81,76,1,76,0,2,-2
sqrt2-per12,4,81,77,2,77,4,2,2
sqrt2-per12,4,81,79,1,79,5,2,3
sqrt2-per12,4,81,80,2,80,0,2,-2
sqrt2-per12,5,27,1,1,1,3,3,0
sqrt2-per12,5,27,2,2,2,2,3,-1
sqrt2-per12,5,27,4,1,4,2,3,-1
sqrt2-per12,5,27,5,2,5,2,3,-1
sqrt2-per12,5,27,7,1,7,4,3,1
sqrt2-per12,5,27,8,2,8,1,3,-2
sqrt2-per12,5,27,10,1,10,1,3,-2
sqrt2-per12,5,27,11,2,11,3,3,0
sqrt2-per12,5,27,13,1,13,2,3,-1
sqrt2-per12,5,27,14,2,14,3,3,0
sqrt2-per12,5,27,16,1,16,5,3,2
sqrt2-per12,5,27,17,2,17,2,3,-1
sqrt2-per12,5,27,19,1,19,2,3,-1
sqrt2-per12,5,27,20,2,20,0,3,-3
sqrt2-per12,5,27,22,1,22,3,3,0
sqrt2-per12,5,27,23,2,23,5,3,2
sqrt2-per12,5,27,25,1,25,6,3,3
sqrt2-per12,5,27,26,2,26,1,3,-2
sqrt2-per12,5,81,1,1,1,3,3,0
sqrt2-per12,5,81,2,2,2,2,3,-1
sqrt2-per12,5,81,4,1,4,2,3,-1
sqrt2-per12,5,81,5,2,5,2,3,-1
sqrt2-per12,5,81,7,1,7,4,3,1
sqrt2-per12,5,81,8,2,8,1,3,-2
sqrt2-per12,5,81,10,1,10,1,3,-2
sqrt2-per12,5,81,11,2,11,3,3,0
sqrt2-per12,5,81,13,1,13,2,3,-1
sqrt2-per12,5,81,14,2,14,3,3,0
sqrt2-per12,5,81,16,1,16,5,3,2
sqrt2-per12,5,81,17,2,17,2,3,-1
sqrt2-per12,5,81,19,1,19,2,3,-1
sqrt2-per12,5,81,20,2,20,0,3,-3
sqrt2-per12,5,81,22,1,22,3,3,0
sqrt2-per12,5,81,23,2,23,5,3,2
sqrt2-per12,5,81,25,1,25,6,3,3
sqrt2-per12,5,81,26,2,26,1,3,-2
sqrt2-per12,5,81,28,1,28,2,3,-1
sqrt2-per12,5,81,29,2,29,2,3,-1
sqrt2-per12,5,81,31,1,31,4,3,1
sqrt2-per12,5,81,32,2,32,4,3,1
sqrt2-per12,5,81,34,1,34,5,3,2
sqrt2-per12,5,81,35,2,35,4,3,1
sqrt2-per12,5,81,37,1,37,3,3,0
sqrt2-per12,5,81,38,2,38,1,3,-2
sqrt2-per12,5,81,40,1,40,2,3,-1
sqrt2-per12,5,81,41,2,41,3,3,0
sqrt2-per12,5,81,43,1,43,4,3,1
sqrt2-per12,5,81,44,2,44,2,3,-1
sqrt2-per12,5,81,46,1,46,4,3,1
sqrt2-per12,5,81,47,2,47,2,3,-1
sqrt2-per12,5,81,49,1,49,3,3,0
sqrt2-per12,5,81,50,2,50,5,3,2
sqrt2-per12,5,81,52,1,52,5,3,2
sqrt2-per12,5,81,53,2,53,3,3,0
sqrt2-per12,5,81,55,1,55,4,3,1
sqrt2-per12,5,81,56,2,56,1,3,-2
sqrt2-per12,5,81,58,1,58,5,3,2
sqrt2-per12,5,81,59,2,59,2,3,-1
sqrt2-per12,5,81,61,1,61,5,3,2
sqrt2-per12,5,81,62,2,62,3,3,0
sqrt2-per12,5,81,64,1,64,3,3,0
sqrt2-per12,5,81,65,2,65,2,3,-1
sqrt2-per12,5,81,67,1,67,2,3,-1
sqrt2-per12,5,81,68,2,68,4,3,1
sqrt2-per12,5,81,70,1,70,5,3,2
sqrt2-per12,5,81,71,2,71,1,3,-2
sqrt2-per12,5,81,73,1,73,5,3,2
sqrt2-per12,5,81,74,2,74,2,3,-1
sqrt2-per12,5,81,76,1,76,0,3,-3
sqrt2-per12,5,81,77,2,77,4,3,1
sqrt2-per12,5,81,79,1,79,7,3,4
sqrt2-per12,5,81,80,2,80,1,3,-2
sqrt2-per12,6,27,1,1,1,3,3,0
sqrt2-per12,6,27,2,2,2,2,3,-1
sqrt2-per12,6,27,4,1,4,2,3,-1
sqrt2-per12,6,27,5,2,5,3,3,0
sqrt2-per12,6,27,7,1,7,5,3,2
sqrt2-per12,6,27,8,2,8,1,3,-2
sqrt2-per12,6,27,10,1,10,2,3,-1
sqrt2-per12,6,27,11,2,11,3,3,0
sqrt2-per12,6,27,13,1,13,2,3,-1
sqrt2-per12,6,27,14,2,14,4,3,1
sqrt2-per12,6,27,16,1,16,6,3,3
sqrt2-per12,6,27,17,2,17,3,3,0
sqrt2-per12,6,27,19,1,19,4,3,1
sqrt2-per12,6,27,20,2,20,1,3,-2
sqrt2-per12,6,27,22,1,22,3,3,0
sqrt2-per12,6,27,23,2,23,5,3,2
sqrt2-per12,6,27,25,1,25,6,3,3
sqrt2-per12,6,27,26,2,26,1,3,-2
sqrt2-per12,6,81,1,1,1,3,3,0
sqrt2-per12,6,81,2,2,2,2,3,-1
sqrt2-per12,6,81,4,1,4,2,3,-1
sqrt2-per12,6,81,5,2,5,3,3,0
sqrt2-per12,6,81,7,1,7,5,3,2
sqrt2-per12,6,81,8,2,8,1,3,-2
sqrt2-per12,6,81,10,1,10,2,3,-1
sqrt2-per12,6,81,11,2,11,3,3,0
sqrt2-per12,6,81,13,1,13,2,3,-1
sqrt2-per12,6,81,14,2,14,4,3,1
sqrt2-per12,6,81,16,1,16,6,3,3
sqrt2-per12,6,81,17,2,17,3,3,0
sqrt2-per12,6,81,19,1,19,4,3,1
sqrt2-per12,6,81,20,2,20,1,3,-2
sqrt2-per12,6,81,22,1,22,3,3,0
sqrt2-per12,6,81,23,2,23,5,3,2
sqrt2-per12,6,81,25,1,25,6,3,3
sqrt2-per12,6,81,26,2,26,1,3,-2
sqrt2-per12,6,81,28,1,28,3,3,0
sqrt2-per12,6,81,29,2,29,2,3,-1
sqrt2-per12,6,81,31,1,31,4,3,1
sqrt2-per12,6,81,32,2,32,5,3,2
sqrt2-per12,6,81,34,1,34,5,3,2
sqrt2-per12,6,81,35,2,35,4,3,1
sqrt2-per12,6,81,37,1,37,4,3,1
sqrt2-per12,6,81,38,2,38,3,3,0
sqrt2-per12,6,81,40,1,40,3,3,0
sqrt2-per12,6,81,41,2,41,4,3,1
sqrt2-per12,6,81,43,1,43,4,3,1
sqrt2-per12,6,81,44,2,44,2,3,-1
sqrt2-per12,6,81,46,1,46,4,3,1
sqrt2-per12,6,81,47,2,47,2,3,-1
sqrt2-per12,6,81,49,1,49,3,3,0
sqrt2-per12,6,81,50,2,50,5,3,2
sqrt2-per12,6,81,52,1,52,5,3,2
sqrt2-per12,6,81,53,2,53,3,3,0
sqrt2-per12,6,81,55,1,55,5,3,2
sqrt2-per12,6,81,56,2,56,2,3,-1
sqrt2-per12,6,81,58,1,58,5,3,2
sqrt2-per12,6,81,59,2,59,3,3,0
sqrt2-per12,6,81,61,1,61,5,3,2
sqrt2-per12,6,81,62,2,62,3,3,0
sqrt2-per12,6,81,64,1,64,4,3,1
sqrt2-per12,6,81,65,2,65,4,3,1
sqrt2-per12,6,81,67,1,67,2,3,-1
sqrt2-per12,6,81,68,2,68,4,3,1
sqrt2-per12,6,81,70,1,70,5,3,2
sqrt2-per12,6,81,71,2,71,1,3,-2
sqrt2-per12,6,81,73,1,73,5,3,2
sqrt2-per12,6,81,74,2,74,3,3,0
sqrt2-per12,6,81,76,1,76,2,3,-1
sqrt2-per12,6,81,77,2,77,4,3,1
sqrt2-per12,6,81,79,1,79,7,3,4
sqrt2-per12,6,81,80,2,80,2,3,-1
sqrt2-per12,7,27,1,1,1,4,4,0
sqrt2-per12,7,27,2,2,2,3,4,-1
sqrt2-per12,7,27,4,1,4,4,4,0
sqrt2-per12,7,27,5,2,5,4,4,0
sqrt2-per12,7,27,7,1,7,6,4,2
sqrt2-per12,7,27,8,2,8,3,4,-1
sqrt2-per12,7,27,10,1,10,3,4,-1
sqrt2-per12,7,27,11,2,11,4,4,0
sqrt2-per12,7,27,13,1,13,3,4,-1
sqrt2-per12,7,27,14,2,14,5,4,1
sqrt2-per12,7,27,16,1,16,6,4,2
sqrt2-per12,7,27,17,2,17,3,4,-1
sqrt2-per12,7,27,19,1,19,4,4,0
sqrt2-per12,7,27,20,2,20,2,4,-2
sqrt2-per12,7,27,22,1,22,3,4,-1
sqrt2-per12,7,27,23,2,23,6,4,2
sqrt2-per12,7,27,25,1,25,6,4,2
sqrt2-per12,7,27,26,2,26,2,4,-2
sqrt2-per12,7,81,1,1,1,4,4,0
sqrt2-per12,7,81,2,2,2,3,4,-1
sqrt2-per12,7,81,4,1,4,4,4,0
sqrt2-per12,7,81,5,2,5,4,4,0
sqrt2-per12,7,81,7,1,7,6,4,2
sqrt2-per12,7,81,8,2,8,3,4,-1
sqrt2-per12,7,81,10,1,10,3,4,-1
sqrt2-per12,7,81,11,2,11,4,4,0
sqrt2-per12,7,81,13,1,13,3,4,-1
sqrt2-per12,7,81,14,2,14,5,4,1
sqrt2-per12,7,81,16,1,16,6,4,2
sqrt2-per12,7,81,17,2,17,3,4,-1
sqrt2-per12,7,81,19,1,19,4,4,0
sqrt2-per12,7,81,20,2,20,2,4,-2
sqrt2-per12,7,81,22,1,22,3,4,-1
sqrt2-per12,7,81,23,2,23,6,4,2
sqrt2-per12,7,81,25,1,25,6,4,2
sqrt2-per12,7,81,26,2,26,2,4,-2
sqrt2-per12,7,81,28,1,28,4,4,0
sqrt2-per12,7,81,29,2,29,3,4,-1
sqrt2-per12,7,81,31,1,31,5,4,1
sqrt2-per12,7,81,32,2,32,5,4,1
sqrt2-per12,7,81,34,1,34,5,4,1
sqrt2-per12,7,81,35,2,35,5,4,1
sqrt2-per12,7,81,37,1,37,4,4,0
sqrt2-per12,7,81,38,2,38,3,4,-1
sqrt2-per12,7,81,40,1,40,4,4,0
sqrt2-per12,7,81,41,2,41,5,4,1
sqrt2-per12,7,81,43,1,43,5,4,1
sqrt2-per12,7,81,44,2,44,2,4,-2
sqrt2-per12,7,81,46,1,46,5,4,1
sqrt2-per12,7,81,47,2,47,3,4,-1
sqrt2-per12,7,81,49,1,49,4,4,0
sqrt2-per12,7,81,50,2,50,5,4,1
sqrt2-per12,7,81,52,1,52,5,4,1
sqrt2-per12,7,81,53,2,53,4,4,0
sqrt2-per12,7,81,55,1,55,6,4,2
sqrt2-per12,7,81,56,2,56,3,4,-1
sqrt2-per12,7,81,58,1,58,5,4,1
sqrt2-per12,7,81,59,2,59,3,4,-1
sqrt2-per12,7,81,61,1,61,5,4,1
sqrt2-per12,7,81,62,2,62,4,4,0
sqrt2-per12,7,81,64,1,64,4,4,0
sqrt2-per12,7,81,65,2,65,4,4,0
sqrt2-per12,7,81,67,1,67,2,4,-2
sqrt2-per12,7,81,68,2,68,4,4,0
sqrt2-per12,7,81,70,1,70,6,4,2
sqrt2-per12,7,81,71,2,71,2,4,-2
sqrt2-per12,7,81,73,1,73,6,4,2
sqrt2-per12,7,81,74,2,74,3,4,-1
sqrt2-per12,7,81,76,1,76,2,4,-2
sqrt2-per12,7,81,77,2,77,4,4,0
sqrt2-per12,7,81,79,1,79,7,4,3
sqrt2-per12,7,81,80,2,80,3,4,-1
sqrt2-per12,8,27,1,1,1,4,4,0
sqrt2-per12,8,27,2,2,2,3,4,-1
sqrt2-per12,8,27,4,1,4,4,4,0
sqrt2-per12,8,27,5,2,5,5,4,1
sqrt2-per12,8,27,7,1,7,6,4,2
sqrt2-per12,8,27,8,2,8,3,4,-1
sqrt2-per12,8,27,10,1,10,4,4,0
sqrt2-per12,8,27,11,2,11,5,4,1
sqrt2-per12,8,27,13,1,13,3,4,-1
sqrt2-per12,8,27,14,2,14,5,4,1
sqrt2-per12,8,27,16,1,16,6,4,2
sqrt2-per12,8,27,17,2,17,3,4,-1
sqrt2-per12,8,27,19,1,19,4,4,0
sqrt2-per12,8,27,20,2,20,3,4,-1
sqrt2-per12,8,27,22,1,22,4,4,0
sqrt2-per12,8,27,23,2,23,6,4,2
sqrt2-per12,8,27,25,1,25,8,4,4
sqrt2-per12,8,27,26,2,26,2,4,-2
sqrt2-per12,8,81,1,1,1,4,4,0
sqrt2-per12,8,81,2,2,2,3,4,-1
sqrt2-per12,8,81,4,1,4,4,4,0
sqrt2-per12,8,81,5,2,5,5,4,1
sqrt2-per12,8,81,7,1,7,6,4,2
sqrt2-per12,8,81,8,2,8,3,4,-1
sqrt2-per12,8,81,10,1,10,4,4,0
sqrt2-per12,8,81,11,2,11,5,4,1
sqrt2-per12,8,81,13,1,13,3,4,-1
sqrt2-per12,8,81,14,2,14,5,4,1
sqrt2-per12,8,81,16,1,16,6,4,2
sqrt2-per12,8,81,17,2,17,3,4,-1
sqrt2-per12,8,81,19,1,19,4,4,0
sqrt2-per12,8,81,20,2,20,3,4,-1
sqrt2-per12,8,81,22,1,22,4,4,0
sqrt2-per12,8,81,23,2,23,6,4,2
sqrt2-per12,8,81,25,1,25,8,4,4
sqrt2-per12,8,81,26,2,26,2,4,-2
sqrt2-per12,8,81,28,1,28,4,4,0
sqrt2-per12,8,81,29,2,29,4,4,0
sqrt2-per12,8,81,31,1,31,5,4,1
sqrt2-per12,8,81,32,2,32,5,4,1
sqrt2-per12,8,81,34,1,34,7,4,3
sqrt2-per12,8,81,35,2,35,6,4,2
sqrt2-per12,8,81,37,1,37,5,4,1
sqrt2-per12,8,81,38,2,38,3,4,-1
sqrt2-per12,8,81,40,1,40,4,4,0
sqrt2-per12,8,81,41,2,41,6,4,2
sqrt2-per12,8,81,43,1,43,5,4,1
sqrt2-per12,8,81,44,2,44,3,4,-1
sqrt2-per12,8,81,46,1,46,5,4,1
sqrt2-per12,8,81,47,2,47,4,4,0
sqrt2-per12,8,81,49,1,49,4,4,0
sqrt2-per12,8,81,50,2,50,7,4,3
sqrt2-per12,8,81,52,1,52,6,4,2
sqrt2-per12,8,81,53,2,53,4,4,0
sqrt2-per12,8,81,55,1,55,6,4,2
sqrt2-per12,8,81,56,2,56,3,4,-1
sqrt2-per12,8,81,58,1,58,5,4,1
sqrt2-per12,8,81,59,2,59,5,4,1
sqrt2-per12,8,81,61,1,61,5,4,1
sqrt2-per12,8,81,62,2,62,4,4,0
sqrt2-per12,8,81,64,1,64,4,4,0
sqrt2-per12,8,81,65,2,65,4,4,0
sqrt2-per12,8,81,67,1,67,4,4,0
sqrt2-per12,8,81,68,2,68,6,4,2
sqrt2-per12,8,81,70,1,70,8,4,4
sqrt2-per12,8,81,71,2,71,3,4,-1
sqrt2-per12,8,81,73,1,73,6,4,2
sqrt2-per12,8,81,74,2,74,4,4,0
sqrt2-per12,8,81,76,1,76,2,4,-2
sqrt2-per12,8,81,77,2,77,4,4,0
sqrt2-per12,8,81,79,1,79,7,4,3
sqrt2-per12,8,81,80,2,80,3,4,-1
