label,m,word,L,min_cost,hit_loop,breach,over_loop_impossible_check,cap_margin_ok,replay_ok,status
exhaustive-m10,10,2221222211,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1112222211,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2112222211,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1212222211,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2212222211,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1122222211,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2122222211,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1222222211,3,3,True,False,False,True,True,OK
exhaustive-m10,10,2222222211,2,2,True,False,False,True,True,OK
exhaustive-m10,10,1111111121,9,9,True,False,False,True,True,OK
exhaustive-m10,10,2111111121,8,8,True,False,False,True,True,OK
exhaustive-m10,10,1211111121,8,8,True,False,False,True,True,OK
exhaustive-m10,10,2211111121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,1121111121,8,8,True,False,False,True,True,OK
exhaustive-m10,10,2121111121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,1221111121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2221111121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1112111121,8,8,True,False,False,True,True,OK
exhaustive-m10,10,2112111121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,1212111121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2212111121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1122111121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2122111121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1222111121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2222111121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1111211121,8,8,True,False,False,True,True,OK
exhaustive-m10,10,2111211121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,1211211121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2211211121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1121211121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2121211121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1221211121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2221211121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1112211121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2112211121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1212211121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2212211121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1122211121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2122211121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1222211121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2222211121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1111121121,8,8,True,False,False,True,True,OK
exhaustive-m10,10,2111121121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,1211121121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2211121121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1121121121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2121121121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1221121121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2221121121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1112121121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2112121121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1212121121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2212121121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1122121121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2122121121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1222121121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2222121121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1111221121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2111221121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1211221121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2211221121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1121221121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2121221121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1221221121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2221221121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1112221121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2112221121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1212221121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2212221121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1122221121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2122221121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1222221121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2222221121,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1111112121,8,8,True,False,False,True,True,OK
exhaustive-m10,10,2111112121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,1211112121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2211112121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1121112121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2121112121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1221112121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2221112121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1112112121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2112112121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1212112121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2212112121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1122112121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2122112121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1222112121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2222112121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1111212121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2111212121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1211212121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2211212121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1121212121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2121212121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1221212121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2221212121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1112212121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2112212121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1212212121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2212212121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1122212121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2122212121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1222212121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2222212121,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1111122121,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2111122121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1211122121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2211122121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1121122121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2121122121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1221122121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2221122121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1112122121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2112122121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1212122121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2212122121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1122122121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2122122121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1222122121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2222122121,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1111222121,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2111222121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1211222121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2211222121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1121222121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2121222121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1221222121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2221222121,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1112222121,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2112222121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1212222121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2212222121,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1122222121,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2122222121,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1222222121,3,3,True,False,False,True,True,OK
exhaustive-m10,10,2222222121,2,2,True,False,False,True,True,OK
exhaustive-m10,10,1111111221,8,8,True,False,False,True,True,OK
exhaustive-m10,10,2111111221,7,7,True,False,False,True,True,OK
exhaustive-m10,10,1211111221,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2211111221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1121111221,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2121111221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1221111221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2221111221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1112111221,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2112111221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1212111221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2212111221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1122111221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2122111221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1222111221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2222111221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1111211221,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2111211221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1211211221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2211211221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1121211221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2121211221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1221211221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2221211221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1112211221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2112211221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1212211221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2212211221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1122211221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2122211221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1222211221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2222211221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1111121221,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2111121221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1211121221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2211121221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1121121221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2121121221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1221121221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2221121221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1112121221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2112121221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1212121221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2212121221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1122121221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2122121221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1222121221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2222121221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1111221221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2111221221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1211221221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2211221221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1121221221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2121221221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1221221221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2221221221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1112221221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2112221221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1212221221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2212221221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1122221221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2122221221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1222221221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,2222221221,2,2,True,False,False,True,True,OK
exhaustive-m10,10,1111112221,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2111112221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1211112221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2211112221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1121112221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2121112221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1221112221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2221112221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1112112221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2112112221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1212112221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2212112221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1122112221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2122112221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1222112221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2222112221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1111212221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2111212221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1211212221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2211212221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1121212221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2121212221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1221212221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2221212221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1112212221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2112212221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1212212221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2212212221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1122212221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2122212221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1222212221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,2222212221,2,2,True,False,False,True,True,OK
exhaustive-m10,10,1111122221,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2111122221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1211122221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2211122221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1121122221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2121122221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1221122221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2221122221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1112122221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2112122221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1212122221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2212122221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1122122221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2122122221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1222122221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,2222122221,2,2,True,False,False,True,True,OK
exhaustive-m10,10,1111222221,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2111222221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1211222221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2211222221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1121222221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2121222221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1221222221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,2221222221,2,2,True,False,False,True,True,OK
exhaustive-m10,10,1112222221,4,4,True,False,False,True,True,OK
exhaustive-m10,10,2112222221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,1212222221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,2212222221,2,2,True,False,False,True,True,OK
exhaustive-m10,10,1122222221,3,3,True,False,False,True,True,OK
exhaustive-m10,10,2122222221,2,2,True,False,False,True,True,OK
exhaustive-m10,10,1222222221,2,2,True,False,False,True,True,OK
exhaustive-m10,10,2222222221,1,1,True,False,False,True,True,OK
exhaustive-m10,10,1111111112,9,9,True,False,False,True,True,OK
exhaustive-m10,10,2111111112,8,8,True,False,False,True,True,OK
exhaustive-m10,10,1211111112,8,8,True,False,False,True,True,OK
exhaustive-m10,10,2211111112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,1121111112,8,8,True,False,False,True,True,OK
exhaustive-m10,10,2121111112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,1221111112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2221111112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1112111112,8,8,True,False,False,True,True,OK
exhaustive-m10,10,2112111112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,1212111112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2212111112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1122111112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2122111112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1222111112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2222111112,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1111211112,8,8,True,False,False,True,True,OK
exhaustive-m10,10,2111211112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,1211211112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2211211112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1121211112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2121211112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1221211112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2221211112,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1112211112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2112211112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1212211112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2212211112,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1122211112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2122211112,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1222211112,5,5,True,False,False,True,True,OK
exhaustive-m10,10,2222211112,4,4,True,False,False,True,True,OK
exhaustive-m10,10,1111121112,8,8,True,False,False,True,True,OK
exhaustive-m10,10,2111121112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,1211121112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2211121112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1121121112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2121121112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1221121112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2221121112,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1112121112,7,7,True,False,False,True,True,OK
exhaustive-m10,10,2112121112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,1212121112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2212121112,5,5,True,False,False,True,True,OK
exhaustive-m10,10,1122121112,6,6,True,False,False,True,True,OK
exhaustive-m10,10,2122121112,5,5,True,False,False,True,True,OK
