C,m,L_m,L_m_plus_1,tau_pop_ratio
5,11,1,1,1.0
5,12,1,1,1.0
5,13,1,1,1.0
5,14,1,0,0.0
5,15,0,0,
5,16,0,0,
5,17,0,0,
5,18,0,0,
5,19,0,0,
5,20,0,0,
5,21,0,0,
5,22,0,0,
5,23,0,0,
5,24,0,0,
5,25,0,0,
5,26,0,0,
5,27,0,0,
5,28,0,0,
5,29,0,0,
5,30,0,0,
5,31,0,0,
5,32,0,0,
5,33,0,0,
5,34,0,0,
5,35,0,0,
5,36,0,0,
5,37,0,0,
5,38,0,0,
5,39,0,0,
5,40,0,0,
5,41,0,0,
5,42,0,0,
5,43,0,0,
5,44,0,0,
5,45,0,0,
5,46,0,0,
5,47,0,0,
5,48,0,0,
5,49,0,0,
5,50,0,0,
5,51,0,0,
5,52,0,0,
6,1,4,7,1.75
6,2,7,6,0.8571428571428571
6,3,6,9,1.5
6,4,9,8,0.8888888888888888
6,5,8,8,1.0
6,6,8,9,1.125
6,7,9,5,0.5555555555555556
6,8,5,5,1.0
6,9,5,4,0.8
6,10,4,3,0.75
6,11,3,3,1.0
6,12,3,2,0.6666666666666666
6,13,2,1,0.5
6,14,1,1,1.0
6,15,1,1,1.0
6,16,1,0,0.0
6,17,0,0,
6,18,0,0,
6,19,0,0,
6,20,0,0,
6,21,0,0,
6,22,0,0,
6,23,0,0,
6,24,0,0,
6,25,0,0,
6,26,0,0,
6,27,0,0,
6,28,0,0,
6,29,0,0,
6,30,0,0,
6,31,0,0,
6,32,0,0,
6,33,0,0,
6,34,0,0,
6,35,0,0,
6,36,0,0,
6,37,0,0,
6,38,0,0,
6,39,0,0,
6,40,0,0,
6,41,0,0,
6,42,0,0,
6,43,0,0,
6,44,0,0,
6,45,0,0,
6,46,0,0,
6,47,0,0,
6,48,0,0,
6,49,0,0,
6,50,0,0,
6,51,0,0,
6,52,0,0,
7,1,4,8,2.0
7,2,8,7,0.875
7,3,7,11,1.5714285714285714
7,4,11,9,0.8181818181818182
7,5,9,10,1.1111111111111112
7,6,10,12,1.2
7,7,12,8,0.6666666666666666
7,8,8,8,1.0
7,9,8,6,0.75
7,10,6,5,0.8333333333333334
7,11,5,6,1.2
7,12,6,4,0.6666666666666666
7,13,4,3,0.75
7,14,3,2,0.6666666666666666
7,15,2,1,0.5
7,16,1,1,1.0
7,17,1,1,1.0
7,18,1,1,1.0
7,19,1,0,0.0
7,20,0,0,
7,21,0,0,
7,22,0,0,
7,23,0,0,
7,24,0,0,
7,25,0,0,
7,26,0,0,
7,27,0,0,
7,28,0,0,
7,29,0,0,
7,30,0,0,
7,31,0,0,
7,32,0,0,
7,33,0,0,
7,34,0,0,
7,35,0,0,
7,36,0,0,
7,37,0,0,
7,38,0,0,
7,39,0,0,
7,40,0,0,
7,41,0,0,
7,42,0,0,
7,43,0,0,
7,44,0,0,
7,45,0,0,
7,46,0,0,
7,47,0,0,
7,48,0,0,
7,49,0,0,
7,50,0,0,
7,51,0,0,
7,52,0,0,
8,1,5,10,2.0
8,2,10,9,0.9
8,3,9,13,1.4444444444444444
8,4,13,10,0.7692307692307693
8,5,10,12,1.2
8,6,12,14,1.1666666666666667
8,7,14,9,0.6428571428571429
8,8,9,10,1.1111111111111112
8,9,10,8,0.8
8,10,8,8,1.0
8,11,8,9,1.125
8,12,9,6,0.6666666666666666
8,13,6,6,1.0
8,14,6,4,0.6666666666666666
8,15,4,3,0.75
8,16,3,2,0.6666666666666666
8,17,2,1,0.5
8,18,1,1,1.0
8,19,1,1,1.0
8,20,1,1,1.0
8,21,1,0,0.0
8,22,0,0,
8,23,0,0,
8,24,0,0,
8,25,0,0,
8,26,0,0,
8,27,0,0,
8,28,0,0,
8,29,0,0,
8,30,0,0,
8,31,0,0,
8,32,0,0,
8,33,0,0,
8,34,0,0,
8,35,0,0,
8,36,0,0,
8,37,0,0,
8,38,0,0,
8,39,0,0,
8,40,0,0,
8,41,0,0,
8,42,0,0,
8,43,0,0,
8,44,0,0,
8,45,0,0,
8,46,0,0,
8,47,0,0,
8,48,0,0,
8,49,0,0,
8,50,0,0,
8,51,0,0,
8,52,0,0,
9,1,5,11,2.2
9,2,11,10,0.9090909090909091
9,3,10,15,1.5
9,4,15,12,0.8
9,5,12,14,1.1666666666666667
9,6,14,16,1.1428571428571428
9,7,16,10,0.625
9,8,10,12,1.2
9,9,12,9,0.75
9,10,9,10,1.1111111111111112
9,11,10,12,1.2
9,12,12,9,0.75
9,13,9,9,1.0
9,14,9,6,0.6666666666666666
9,15,6,5,0.8333333333333334
9,16,5,4,0.8
9,17,4,3,0.75
9,18,3,3,1.0
9,19,3,2,0.6666666666666666
9,20,2,1,0.5
9,21,1,1,1.0
9,22,1,1,1.0
9,23,1,1,1.0
9,24,1,0,0.0
9,25,0,0,
9,26,0,0,
9,27,0,0,
9,28,0,0,
9,29,0,0,
9,30,0,0,
9,31,0,0,
9,32,0,0,
9,33,0,0,
9,34,0,0,
9,35,0,0,
9,36,0,0,
9,37,0,0,
9,38,0,0,
9,39,0,0,
9,40,0,0,
9,41,0,0,
9,42,0,0,
9,43,0,0,
9,44,0,0,
9,45,0,0,
9,46,0,0,
9,47,0,0,
9,48,0,0,
9,49,0,0,
9,50,0,0,
9,51,0,0,
9,52,0,0,
10,1,6,12,2.0
10,2,12,11,0.9166666666666666
10,3,11,17,1.5454545454545454
10,4,17,14,0.8235294117647058
10,5,14,16,1.1428571428571428
10,6,16,19,1.1875
10,7,19,12,0.631578947368421
10,8,12,15,1.25
10,9,15,11,0.7333333333333333
10,10,11,12,1.0909090909090908
10,11,12,15,1.25
10,12,15,12,0.8
10,13,12,13,1.0833333333333333
10,14,13,9,0.6923076923076923
10,15,9,9,1.0
10,16,9,7,0.7777777777777778
10,17,7,5,0.7142857142857143
10,18,5,6,1.2
10,19,6,4,0.6666666666666666
10,20,4,3,0.75
10,21,3,2,0.6666666666666666
10,22,2,2,1.0
10,23,2,2,1.0
10,24,2,1,0.5
10,25,1,1,1.0
10,26,1,0,0.0
10,27,0,0,
10,28,0,0,
10,29,0,0,
10,30,0,0,
10,31,0,0,
10,32,0,0,
10,33,0,0,
10,34,0,0,
10,35,0,0,
10,36,0,0,
10,37,0,0,
10,38,0,0,
10,39,0,0,
10,40,0,0,
10,41,0,0,
10,42,0,0,
10,43,0,0,
10,44,0,0,
10,45,0,0,
10,46,0,0,
10,47,0,0,
10,48,0,0,
10,49,0,0,
10,50,0,0,
10,51,0,0,
10,52,0,0,
11,1,6,13,2.1666666666666665
11,2,13,12,0.9230769230769231
11,3,12,19,1.5833333333333333
11,4,19,15,0.7894736842105263
11,5,15,18,1.2
11,6,18,22,1.2222222222222223
11,7,22,14,0.6363636363636364
11,8,14,18,1.2857142857142858
11,9,18,13,0.7222222222222222
11,10,13,15,1.1538461538461537
11,11,15,18,1.2
11,12,18,15,0.8333333333333334
11,13,15,17,1.1333333333333333
11,14,17,13,0.7647058823529411
11,15,13,14,1.0769230769230769
11,16,14,11,0.7857142857142857
11,17,11,10,0.9090909090909091
11,18,10,10,1.0
11,19,10,8,0.8
11,20,8,7,0.875
11,21,7,6,0.8571428571428571
11,22,6,7,1.1666666666666667
11,23,7,8,1.1428571428571428
11,24,8,5,0.625
11,25,5,5,1.0
11,26,5,4,0.8
11,27,4,5,1.25
11,28,5,4,0.8
11,29,4,5,1.25
11,30,5,6,1.2
11,31,6,5,0.8333333333333334
11,32,5,6,1.2
11,33,6,5,0.8333333333333334
11,34,5,5,1.0
11,35,5,6,1.2
11,36,6,6,1.0
11,37,6,7,1.1666666666666667
11,38,7,7,1.0
11,39,7,7,1.0
11,40,7,7,1.0
11,41,7,6,0.8571428571428571
11,42,6,6,1.0
11,43,6,5,0.8333333333333334
11,44,5,5,1.0
11,45,5,4,0.8
11,46,4,4,1.0
11,47,4,4,1.0
11,48,4,3,0.75
11,49,3,3,1.0
11,50,3,3,1.0
11,51,3,4,1.3333333333333333
11,52,4,2,0.5
12,1,7,14,2.0
12,2,14,13,0.9285714285714286
12,3,13,21,1.6153846153846154
12,4,21,16,0.7619047619047619
12,5,16,20,1.25
12,6,20,25,1.25
12,7,25,17,0.68
12,8,17,21,1.2352941176470589
12,9,21,15,0.7142857142857143
12,10,15,18,1.2
12,11,18,22,1.2222222222222223
12,12,22,19,0.8636363636363636
12,13,19,22,1.1578947368421053
12,14,22,18,0.8181818181818182
12,15,18,19,1.0555555555555556
12,16,19,15,0.7894736842105263
12,17,15,15,1.0
12,18,15,16,1.0666666666666667
12,19,16,13,0.8125
12,20,13,12,0.9230769230769231
12,21,12,10,0.8333333333333334
12,22,10,12,1.2
12,23,12,14,1.1666666666666667
12,24,14,11,0.7857142857142857
12,25,11,11,1.0
12,26,11,9,0.8181818181818182
12,27,9,10,1.1111111111111112
12,28,10,9,0.9
12,29,9,10,1.1111111111111112
12,30,10,12,1.2
12,31,12,11,0.9166666666666666
12,32,11,12,1.0909090909090908
12,33,12,11,0.9166666666666666
12,34,11,11,1.0
12,35,11,12,1.0909090909090908
12,36,12,12,1.0
12,37,12,14,1.1666666666666667
12,38,14,14,1.0
12,39,14,15,1.0714285714285714
12,40,15,14,0.9333333333333333
12,41,14,14,1.0
12,42,14,14,1.0
12,43,14,12,0.8571428571428571
12,44,12,11,0.9166666666666666
12,45,11,9,0.8181818181818182
12,46,9,9,1.0
12,47,9,9,1.0
12,48,9,7,0.7777777777777778
12,49,7,7,1.0
12,50,7,6,0.8571428571428571
12,51,6,8,1.3333333333333333
12,52,8,6,0.75
13,1,7,15,2.142857142857143
13,2,15,14,0.9333333333333333
13,3,14,23,1.6428571428571428
13,4,23,18,0.782608695652174
13,5,18,22,1.2222222222222223
13,6,22,28,1.2727272727272727
13,7,28,19,0.6785714285714286
13,8,19,24,1.263157894736842
13,9,24,18,0.75
13,10,18,21,1.1666666666666667
13,11,21,26,1.2380952380952381
13,12,26,22,0.8461538461538461
13,13,22,26,1.1818181818181819
13,14,26,22,0.8461538461538461
13,15,22,24,1.0909090909090908
13,16,24,20,0.8333333333333334
13,17,20,20,1.0
13,18,20,21,1.05
13,19,21,18,0.8571428571428571
13,20,18,17,0.9444444444444444
13,21,17,15,0.8823529411764706
13,22,15,17,1.1333333333333333
13,23,17,19,1.1176470588235294
13,24,19,15,0.7894736842105263
13,25,15,16,1.0666666666666667
13,26,16,14,0.875
13,27,14,16,1.1428571428571428
13,28,16,14,0.875
13,29,14,14,1.0
13,30,14,17,1.2142857142857142
13,31,17,16,0.9411764705882353
13,32,16,17,1.0625
13,33,17,16,0.9411764705882353
13,34,16,17,1.0625
13,35,17,18,1.0588235294117647
13,36,18,18,1.0
13,37,18,20,1.1111111111111112
13,38,20,19,0.95
13,39,19,21,1.105263157894737
13,40,21,20,0.9523809523809523
13,41,20,21,1.05
13,42,21,22,1.0476190476190477
13,43,22,19,0.8636363636363636
13,44,19,19,1.0
13,45,19,16,0.8421052631578947
13,46,16,15,0.9375
13,47,15,15,1.0
13,48,15,12,0.8
13,49,12,12,1.0
13,50,12,10,0.8333333333333334
13,51,10,13,1.3
13,52,13,10,0.7692307692307693
14,1,8,17,2.125
14,2,17,15,0.8823529411764706
14,3,15,25,1.6666666666666667
14,4,25,20,0.8
14,5,20,25,1.25
14,6,25,31,1.24
14,7,31,21,0.6774193548387096
14,8,21,27,1.2857142857142858
14,9,27,20,0.7407407407407407
14,10,20,24,1.2
14,11,24,30,1.25
14,12,30,25,0.8333333333333334
14,13,25,30,1.2
14,14,30,26,0.8666666666666667
14,15,26,28,1.0769230769230769
14,16,28,23,0.8214285714285714
14,17,23,24,1.0434782608695652
14,18,24,26,1.0833333333333333
14,19,26,23,0.8846153846153846
14,20,23,23,1.0
14,21,23,20,0.8695652173913043
14,22,20,22,1.1
14,23,22,25,1.1363636363636365
14,24,25,20,0.8
14,25,20,21,1.05
14,26,21,18,0.8571428571428571
14,27,18,21,1.1666666666666667
14,28,21,19,0.9047619047619048
14,29,19,20,1.0526315789473684
14,30,20,23,1.15
14,31,23,21,0.9130434782608695
14,32,21,22,1.0476190476190477
14,33,22,21,0.9545454545454546
14,34,21,23,1.0952380952380953
14,35,23,24,1.0434782608695652
14,36,24,24,1.0
14,37,24,26,1.0833333333333333
14,38,26,25,0.9615384615384616
14,39,25,27,1.08
14,40,27,25,0.9259259259259259
14,41,25,27,1.08
14,42,27,29,1.0740740740740742
14,43,29,26,0.896551724137931
14,44,26,27,1.0384615384615385
14,45,27,23,0.8518518518518519
14,46,23,23,1.0
14,47,23,23,1.0
14,48,23,18,0.782608695652174
14,49,18,18,1.0
14,50,18,15,0.8333333333333334
14,51,15,18,1.2
14,52,18,14,0.7777777777777778
15,1,8,18,2.25
15,2,18,16,0.8888888888888888
15,3,16,27,1.6875
15,4,27,21,0.7777777777777778
15,5,21,27,1.2857142857142858
15,6,27,34,1.2592592592592593
15,7,34,24,0.7058823529411765
15,8,24,30,1.25
15,9,30,23,0.7666666666666667
15,10,23,27,1.173913043478261
15,11,27,34,1.2592592592592593
15,12,34,28,0.8235294117647058
15,13,28,34,1.2142857142857142
15,14,34,30,0.8823529411764706
15,15,30,32,1.0666666666666667
15,16,32,27,0.84375
15,17,27,29,1.0740740740740742
15,18,29,32,1.103448275862069
15,19,32,29,0.90625
15,20,29,29,1.0
15,21,29,25,0.8620689655172413
15,22,25,28,1.12
15,23,28,31,1.1071428571428572
15,24,31,25,0.8064516129032258
15,25,25,27,1.08
15,26,27,23,0.8518518518518519
15,27,23,26,1.1304347826086956
15,28,26,23,0.8846153846153846
15,29,23,25,1.0869565217391304
15,30,25,29,1.16
15,31,29,27,0.9310344827586207
15,32,27,28,1.037037037037037
15,33,28,26,0.9285714285714286
15,34,26,28,1.0769230769230769
15,35,28,30,1.0714285714285714
15,36,30,30,1.0
15,37,30,32,1.0666666666666667
15,38,32,31,0.96875
15,39,31,33,1.064516129032258
15,40,33,31,0.9393939393939394
15,41,31,33,1.064516129032258
15,42,33,35,1.0606060606060606
15,43,35,32,0.9142857142857143
15,44,32,34,1.0625
15,45,34,30,0.8823529411764706
15,46,30,31,1.0333333333333334
15,47,31,31,1.0
15,48,31,26,0.8387096774193549
15,49,26,26,1.0
15,50,26,22,0.8461538461538461
15,51,22,24,1.0909090909090908
15,52,24,19,0.7916666666666666
